customer_id,order_id,order_date,status,total_amount,discount_pct,is_negative_amount,signup_date,country,customer_tier,email,net_amount,rolling_7d_order_count
C00001,O0001824,2022-08-12,shipped,64.65,25.0,false,2018-07-15,Uganda,bronze,johnsonjoshua@example.org,48.487500000000004,2
C00001,O0001852,2023-12-29,cancelled,1060.66,5.0,false,2018-07-15,Uganda,bronze,johnsonjoshua@example.org,1007.6270000000001,2
C00002,O0001057,2022-06-08,shipped,91.61,25.0,false,2022-03-08,Uganda,platinum,jillrhodes@example.net,68.7075,2
C00002,O0001392,2022-07-25,completed,905.43,5.0,false,2022-03-08,Uganda,platinum,jillrhodes@example.net,860.1584999999999,2
C00003,O0001944,2023-07-20,refunded,1118.16,0.0,false,2023-01-14,Egypt,platinum,garzaanthony@example.org,1118.16,2
C00003,O0000048,2023-08-29,pending,2482.78,15.0,false,2023-01-14,Egypt,platinum,garzaanthony@example.org,2110.3630000000003,2
C00004,O0000010,2023-10-22,pending,2157.06,0.0,false,2021-11-11,Kenya,silver,jesseguzman@example.net,2157.06,5
C00004,O0000872,2022-09-27,completed,77.26,10.0,false,2021-11-11,Kenya,silver,jesseguzman@example.net,69.534,5
C00004,O0000280,2022-04-30,completed,1032.08,0.0,false,2021-11-11,Kenya,silver,jesseguzman@example.net,1032.08,5
C00004,O0001729,2022-12-25,cancelled,1013.14,5.0,false,2021-11-11,Kenya,silver,jesseguzman@example.net,962.483,5
C00004,O0001184,2024-01-20,pending,906.47,5.0,false,2021-11-11,Kenya,silver,jesseguzman@example.net,861.1465,5
C00005,O0001388,2023-09-06,shipped,73.22,15.0,false,2023-02-23,Rwanda,gold,jennifermiles@example.com,62.236999999999995,5
C00005,O0001587,2022-08-03,completed,142.67,15.0,false,2023-02-23,Rwanda,gold,jennifermiles@example.com,121.26949999999998,5
C00005,O0000191,2022-01-22,cancelled,1408.01,20.0,false,2023-02-23,Rwanda,gold,jennifermiles@example.com,1126.4080000000001,5
C00005,O0000215,2022-12-05,cancelled,554.23,25.0,false,2023-02-23,Rwanda,gold,jennifermiles@example.com,415.6725,5
C00005,O0000523,2023-09-15,cancelled,741.81,0.0,false,2023-02-23,Rwanda,gold,jennifermiles@example.com,741.81,5
